Epochs,Batch Size,Learning Rate,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Training Time (s)
20,16,0.001,1.0,1.0,4.081379302078858e-05,3.27825517842939e-08,9.45
20,16,0.0005,1.0,1.0,0.00024870102060958743,1.5830944448680384e-06,8.45
20,16,0.0001,1.0,1.0,0.0034662815742194653,0.00012807187158614397,8.44
20,32,0.001,1.0,1.0,0.0001039162089000456,0.0003899675502907485,6.65
20,32,0.0005,1.0,1.0,0.00040557084139436483,0.0008381341467611492,6.3
20,32,0.0001,1.0,1.0,0.010091748088598251,0.018438929691910744,6.44
20,64,0.001,1.0,0.10000000149011612,0.00020232293172739446,4.099907875061035,5.54
20,64,0.0005,1.0,0.11500000208616257,0.0008173714741133153,1.521307349205017,5.43
20,64,0.0001,1.0,0.1550000011920929,0.02748989313840866,1.6300143003463745,5.43
30,16,0.001,1.0,1.0,6.213385495357215e-05,1.0728834709539115e-08,11.33
30,16,0.0005,1.0,1.0,0.0001262916048290208,2.5451151941524586e-07,11.49
30,16,0.0001,1.0,1.0,0.0017820955254137516,4.8395733756478876e-05,11.7
30,32,0.001,1.0,1.0,8.536509267287329e-05,4.780278004545835e-07,8.08
30,32,0.0005,1.0,1.0,0.00014766363892704248,3.4796923955582315e-06,9.02
30,32,0.0001,1.0,1.0,0.003210802096873522,0.000372976966900751,8.75
30,64,0.001,1.0,0.6650000214576721,0.00011027761502191424,0.6245487332344055,7.52
30,64,0.0005,1.0,1.0,0.000682501180563122,0.1196490228176117,6.97
30,64,0.0001,1.0,0.8650000095367432,0.00955612026154995,0.6292359232902527,6.93
50,16,0.001,1.0,1.0,1.593644446984399e-05,0.0,18.11
50,16,0.0005,1.0,1.0,3.2245741749648005e-05,1.907348412544252e-08,17.7
50,16,0.0001,1.0,1.0,0.0010187422158196568,7.514837307098787e-06,16.75
50,32,0.001,1.0,1.0,2.0463410692173056e-05,1.9073475243658322e-08,13.69
50,32,0.0005,1.0,1.0,8.857485954649746e-05,2.3722616049326462e-07,12.79
50,32,0.0001,1.0,1.0,0.0011489081662148237,3.132522397208959e-05,12.42
50,64,0.001,1.0,1.0,4.6529414248652756e-05,2.337681280550896e-06,10.28
50,64,0.0005,1.0,1.0,0.00032607922912575305,1.0908023796218913e-05,10.16
50,64,0.0001,1.0,1.0,0.0033838015515357256,0.0008689319947734475,9.81
100,16,0.001,1.0,1.0,2.2858139914205822e-07,0.0,31.88
100,16,0.0005,1.0,1.0,3.994563485321123e-06,0.0,31.21
100,16,0.0001,1.0,1.0,8.604235335951671e-05,2.7596931317930284e-07,33.77
100,32,0.001,1.0,1.0,3.3548060400789836e-06,0.0,21.65
100,32,0.0005,1.0,1.0,2.408857471891679e-05,1.4901156752955558e-08,22.16
100,32,0.0001,1.0,1.0,0.000242071837419644,3.526702585077146e-06,22.7
100,64,0.001,1.0,1.0,3.294798716524383e-06,1.9073478796372e-08,17.24
100,64,0.0005,1.0,1.0,4.55691697425209e-05,1.5318371993089386e-07,17.45
100,64,0.0001,1.0,1.0,0.0014693272532895207,2.1266925614327192e-05,18.04
