NodeID,Energy,PacketDeliveryRatio,TransmissionCount,DroppedPackets,ForwardedPackets,DirectTrust,IndirectTrust,TotalTrust,AttackLabel
0,0.2704,0.92,25,2,0,0.92,0.68,0.824,Normal
1,0.4559,0.96,25,1,0,0.96,0.8798,0.9279,Normal
2,0.3427,1.0,33,0,0,1.0,0.7499,0.9,Normal
3,0.4085,1.0,39,0,0,1.0,0.8642,0.9457,Normal
4,0.4836,1.0,23,0,0,1.0,0.7439,0.8976,Normal
5,0.4692,0.9167,24,2,0,0.9167,0.9002,0.9101,Normal
6,0.439,0.9259,27,2,0,0.9259,0.8346,0.8894,Normal
7,0.7783,0.0,37,37,0,0.0,0.8033,0.3213,Blackhole
8,0.5222,0.96,25,1,0,0.96,0.7334,0.8693,Normal
9,0.6938,0.96,25,1,0,0.96,0.7077,0.8591,Normal
10,0.0,0.9263,95,7,0,0.9263,0.6871,0.8306,DoS
11,0.3097,0.9643,28,1,0,0.9643,0.7263,0.8691,Normal
12,0.4971,0.9286,28,2,0,0.9286,0.7089,0.8407,Normal
13,0.467,1.0,25,0,0,1.0,0.7469,0.8988,Normal
14,0.6598,0.9474,38,2,0,0.9474,0.6982,0.8477,Normal
15,0.2301,0.9333,30,2,0,0.9333,0.6633,0.8253,Normal
16,0.5972,0.9524,21,1,0,0.9524,0.9073,0.9344,Normal
17,0.443,1.0,32,0,0,1.0,0.9149,0.966,Normal
18,0.2812,0.9231,26,2,0,0.9231,0.7812,0.8663,Normal
19,0.3798,1.0,34,0,0,1.0,0.8069,0.9228,Normal
20,0.4425,0.9286,28,2,0,0.9286,0.8277,0.8882,Normal
21,0.3294,1.0,26,0,0,1.0,0.9021,0.9608,Normal
22,0.5072,0.973,37,1,0,0.973,0.7715,0.8924,Normal
23,0.6745,1.0,21,0,0,1.0,0.7307,0.8923,Normal
24,0.6304,0.0,25,25,0,0.0,0.7758,0.3103,Blackhole
25,0.5435,1.0,37,0,0,1.0,0.9196,0.9678,Normal
26,0.4199,1.0,32,0,0,1.0,0.9108,0.9643,Normal
27,0.5234,0.0,37,37,0,0.0,0.8584,0.3434,Blackhole
28,0.6561,0.9677,31,1,0,0.9677,0.7957,0.8989,Normal
29,0.266,1.0,36,0,0,1.0,0.7489,0.8996,Normal
30,0.6716,1.0,35,0,0,1.0,0.6478,0.8591,Normal
31,0.4735,0.9355,31,2,0,0.9355,0.9094,0.925,Normal
32,0.094,0.4848,33,17,0,0.4848,0.7666,0.5976,Grayhole
33,0.3346,1.0,35,0,0,1.0,0.8585,0.9434,Normal
34,0.0369,0.8182,110,20,0,0.8182,0.9125,0.8559,DoS
35,0.6088,1.0,37,0,0,1.0,0.744,0.8976,Normal
36,0.3962,0.9714,35,1,0,0.9714,0.8396,0.9187,Normal
37,0.0,0.9785,93,2,0,0.9785,0.8597,0.931,DoS
38,0.6217,0.0,28,28,0,0.0,0.9653,0.3861,Blackhole
39,0.579,0.9677,31,1,0,0.9677,0.6699,0.8486,Normal
40,0.0,0.9558,113,5,0,0.9558,0.9299,0.9454,DoS
41,0.1463,0.381,21,13,0,0.381,0.8049,0.5505,Grayhole
42,0.6662,0.0,34,34,0,0.0,0.7848,0.3139,Blackhole
43,0.6829,0.9231,26,2,0,0.9231,0.9375,0.9288,Normal
44,0.4986,0.92,25,2,0,0.92,0.896,0.9104,Normal
45,0.515,1.0,37,0,0,1.0,0.8581,0.9433,Normal
46,0.3892,0.9565,23,1,0,0.9565,0.8729,0.9231,Normal
47,0.6181,1.0,35,0,0,1.0,0.8924,0.9569,Normal
48,0.3479,0.92,25,2,0,0.92,0.6795,0.8238,Normal
49,0.0,0.4815,27,14,0,0.4815,0.7881,0.6041,Grayhole
50,0.0,0.4138,29,17,0,0.4138,0.9389,0.6238,Grayhole
51,2.6811,0.875,104,13,0,0.875,0.7674,0.8319,DoS
52,0.5424,0.973,37,1,0,0.973,0.8722,0.9327,Normal
53,0.0,0.9368,95,6,0,0.9368,0.8135,0.8875,DoS
54,0.3413,0.5789,38,16,0,0.5789,0.7994,0.6671,Grayhole
55,0.5925,0.9474,38,2,0,0.9474,0.8091,0.8921,Normal
56,0.2913,0.9737,38,1,0,0.9737,0.9281,0.9554,Normal
57,0.0,0.3913,23,14,0,0.3913,0.8085,0.5582,Grayhole
58,0.4896,1.0,34,0,0,1.0,0.8297,0.9319,Normal
59,0.5728,0.9615,26,1,0,0.9615,0.9586,0.9604,Normal
60,0.4605,1.0,34,0,0,1.0,0.7595,0.9038,Normal
61,0.0,0.9216,102,8,0,0.9216,0.7087,0.8364,DoS
62,0.6402,0.0,35,35,0,0.0,0.7862,0.3145,Blackhole
63,0.4303,0.9429,35,2,0,0.9429,0.8007,0.886,Normal
64,0.2283,0.9737,38,1,0,0.9737,0.7769,0.895,Normal
65,0.6159,0.9429,35,2,0,0.9429,0.7153,0.8518,Normal
66,0.3921,0.9697,33,1,0,0.9697,0.7429,0.879,Normal
67,0.6081,0.92,25,2,0,0.92,0.9674,0.939,Normal
68,0.4599,1.0,36,0,0,1.0,0.7074,0.8829,Normal
69,0.0,0.8547,117,17,0,0.8547,0.6964,0.7914,DoS
70,6.6592,0.9189,111,9,0,0.9189,0.9649,0.9373,DoS
71,0.7446,0.0,28,28,0,0.0,0.7622,0.3049,Blackhole
72,0.5264,0.9286,28,2,0,0.9286,0.7812,0.8696,Normal
73,0.4671,1.0,32,0,0,1.0,0.8193,0.9277,Normal
74,0.4113,1.0,34,0,0,1.0,0.7238,0.8895,Normal
75,0.4791,0.9744,39,1,0,0.9744,0.8721,0.9335,Normal
76,0.3724,0.9167,24,2,0,0.9167,0.792,0.8668,Normal
77,0.4706,1.0,27,0,0,1.0,0.9609,0.9843,Normal
78,0.0,0.4571,35,19,0,0.4571,0.8566,0.6169,Grayhole
79,0.6231,0.9737,38,1,0,0.9737,0.808,0.9074,Normal
80,0.6422,0.0,36,36,0,0.0,0.8563,0.3425,Blackhole
81,0.5844,0.913,23,2,0,0.913,0.8679,0.895,Normal
82,0.597,0.9286,28,2,0,0.9286,0.8636,0.9026,Normal
83,0.2661,0.931,29,2,0,0.931,0.6866,0.8333,Normal
84,0.0,0.5405,37,17,0,0.5405,0.826,0.6547,Grayhole
85,0.4741,0.9375,32,2,0,0.9375,0.7481,0.8617,Normal
86,0.4525,0.9722,36,1,0,0.9722,0.6984,0.8627,Normal
87,0.6306,1.0,32,0,0,1.0,0.6364,0.8545,Normal
88,0.765,0.0,29,29,0,0.0,0.8124,0.325,Blackhole
89,0.5763,1.0,24,0,0,1.0,0.8648,0.9459,Normal
