NodeID,Energy,PacketDeliveryRatio,TransmissionCount,DroppedPackets,ForwardedPackets,DirectTrust,IndirectTrust,TotalTrust,AttackLabel
0,0.3489,1.0,33,0,0,1.0,0.7332,0.8933,Normal
1,0.6001,1.0,25,0,0,1.0,0.9453,0.9781,Normal
2,0.3581,1.0,24,0,0,1.0,0.9255,0.9702,Normal
3,0.7654,0.0,26,26,0,0.0,0.727,0.2908,Blackhole
4,0.2243,0.4,20,12,0,0.4,0.8834,0.5934,Grayhole
5,0.6527,0.9615,26,1,0,0.9615,0.7645,0.8827,Normal
6,0.3335,1.0,28,0,0,1.0,0.8313,0.9325,Normal
7,0.6496,1.0,23,0,0,1.0,0.8225,0.929,Normal
8,0.6759,0.9474,38,2,0,0.9474,0.922,0.9372,Normal
9,0.4627,0.9286,28,2,0,0.9286,0.7524,0.8581,Normal
10,0.57,0.913,23,2,0,0.913,0.865,0.8938,Normal
11,0,0.9068,118,11,0,0.9068,0.7938,0.8616,DoS
12,0.3514,0.9259,27,2,0,0.9259,0.869,0.9032,Normal
13,0.7515,0.0,39,39,0,0.0,0.98,0.392,Blackhole
14,0.5843,0.0,29,29,0,0.0,0.7354,0.2942,Blackhole
15,0.5655,0.9655,29,1,0,0.9655,0.7951,0.8973,Normal
16,0.6555,0.95,20,1,0,0.95,0.8414,0.9066,Normal
17,0.6283,0.0,24,24,0,0.0,0.8611,0.3444,Blackhole
18,0,0.9914,116,1,0,0.9914,0.795,0.9128,DoS
19,0.413,0.9655,29,1,0,0.9655,0.7081,0.8626,Normal
20,0.6316,0.9667,30,1,0,0.9667,0.9626,0.965,Normal
21,0.4854,1.0,29,0,0,1.0,0.9361,0.9745,Normal
22,0.4436,0.9259,27,2,0,0.9259,0.7114,0.8401,Normal
23,0.1863,0.5,36,18,0,0.5,0.7888,0.6155,Grayhole
24,0.2813,1.0,22,0,0,1.0,0.7941,0.9177,Normal
25,5.0654,0.8444,90,14,0,0.8444,0.9171,0.8735,DoS
26,0.5171,0.0,35,35,0,0.0,0.7352,0.2941,Blackhole
27,0,0.9524,105,5,0,0.9524,0.7092,0.8551,DoS
28,0.4078,0.9375,32,2,0,0.9375,0.8051,0.8845,Normal
29,12.0519,0.9658,117,4,0,0.9658,0.7882,0.8948,DoS
30,3.8173,0.883,94,11,0,0.883,0.8471,0.8686,DoS
31,0.2028,1.0,26,0,0,1.0,0.8518,0.9407,Normal
32,0.1933,0.5806,31,13,0,0.5806,0.7276,0.6394,Grayhole
33,0.2906,1.0,31,0,0,1.0,0.7001,0.88,Normal
34,0.2945,1.0,38,0,0,1.0,0.964,0.9856,Normal
35,0.2406,1.0,35,0,0,1.0,0.7216,0.8886,Normal
36,0.0737,0.4286,21,12,0,0.4286,0.9089,0.6207,Grayhole
